task_id,learner_id,iteration,surv.graf,surv.harrell_c,algo,PCA,Tuning
Clinical Data,"xgboost (no PCA, untuned)",9,0.437113622887761,0.436553031206131,xgboost,no PCA,untuned
Clinical Data,"xgboost (no PCA, untuned)",10,0.347130957073272,0.614688158035278,xgboost,no PCA,untuned
Clinical Data,"xgboost (PCA, tuned)",1,0.203595628067823,0.594176530838013,xgboost,PCA,tuned
Clinical Data,"xgboost (PCA, tuned)",2,0.225079547288867,0.648752391338348,xgboost,PCA,tuned
Clinical Data,"xgboost (PCA, tuned)",3,0.229464831782445,0.640221416950226,xgboost,PCA,tuned
Clinical Data,"xgboost (PCA, tuned)",4,0.227118080024725,0.544050872325897,xgboost,PCA,tuned
Clinical Data,"xgboost (PCA, tuned)",5,0.196619842205788,0.604949593544006,xgboost,PCA,tuned
Clinical Data,"xgboost (PCA, tuned)",6,0.224732204222673,0.647716701030731,xgboost,PCA,tuned
Clinical Data,"xgboost (PCA, tuned)",7,0.212735583630172,0.511737108230591,xgboost,PCA,tuned
Clinical Data,"xgboost (PCA, tuned)",8,0.217653903017541,0.598598599433899,xgboost,PCA,tuned
Clinical Data,"xgboost (PCA, tuned)",9,0.245381204180024,0.64393937587738,xgboost,PCA,tuned
Clinical Data,"xgboost (PCA, tuned)",10,0.240586375253632,0.638832986354828,xgboost,PCA,tuned
Clinical Data,"xgboost (PCA, untuned)",1,0.381748272679224,0.511373996734619,xgboost,PCA,untuned
Clinical Data,"xgboost (PCA, untuned)",2,0.408284074198126,0.563339710235596,xgboost,PCA,untuned
Clinical Data,"xgboost (PCA, untuned)",3,0.376341867720891,0.488929897546768,xgboost,PCA,untuned
Clinical Data,"xgboost (PCA, untuned)",4,0.375132377921992,0.415077209472656,xgboost,PCA,untuned
Clinical Data,"xgboost (PCA, untuned)",5,0.412446275312487,0.469294220209122,xgboost,PCA,untuned
Clinical Data,"xgboost (PCA, untuned)",6,0.438459391765486,0.494874179363251,xgboost,PCA,untuned
Clinical Data,"xgboost (PCA, untuned)",7,0.449211936975585,0.518309831619263,xgboost,PCA,untuned
Clinical Data,"xgboost (PCA, untuned)",8,0.448826731381661,0.444444447755814,xgboost,PCA,untuned
Clinical Data,"xgboost (PCA, untuned)",9,0.437113622887761,0.515151500701904,xgboost,PCA,untuned
Clinical Data,"xgboost (PCA, untuned)",10,0.347130957073272,0.530181109905243,xgboost,PCA,untuned
Radiomics Liver,"glmnet (no PCA, untuned)",1,0.16901031361962,0.5,cv_glmnet,no PCA,untuned
Radiomics Liver,"glmnet (no PCA, untuned)",2,0.17527204263344,0.5,cv_glmnet,no PCA,untuned
Radiomics Liver,"glmnet (no PCA, untuned)",3,0.197194738921764,0.5,cv_glmnet,no PCA,untuned
Radiomics Liver,"glmnet (no PCA, untuned)",4,0.192129269456782,0.5,cv_glmnet,no PCA,untuned
Radiomics Liver,"glmnet (no PCA, untuned)",5,0.170490633733861,0.5,cv_glmnet,no PCA,untuned
Radiomics Liver,"glmnet (no PCA, untuned)",6,0.188931753577806,0.5,cv_glmnet,no PCA,untuned
Radiomics Liver,"glmnet (no PCA, untuned)",7,0.192637404811705,0.5,cv_glmnet,no PCA,untuned
Radiomics Liver,"glmnet (no PCA, untuned)",8,0.17197399949559,0.5,cv_glmnet,no PCA,untuned
Radiomics Liver,"glmnet (no PCA, untuned)",9,0.188956238705396,0.5,cv_glmnet,no PCA,untuned
